,class,pred
0,EA,NotEA
1,EA,EA
2,NotEA,NotEA
3,NotEA,NotEA
4,NotEA,EA
5,NotEA,NotEA
6,NotEA,NotEA
7,NotEA,EA
8,EA,EA
9,NotEA,NotEA
10,NotEA,NotEA
11,NotEA,EA
12,EA,EA
13,EA,EA
14,NotEA,NotEA
15,NotEA,NotEA
16,EA,EA
17,EA,EA
18,NotEA,NotEA
19,EA,EA
20,EA,EA
21,NotEA,NotEA
22,NotEA,NotEA
23,NotEA,NotEA
24,NotEA,NotEA
25,NotEA,NotEA
26,EA,EA
27,EA,NotEA
28,NotEA,EA
29,EA,EA
30,NotEA,NotEA
31,NotEA,NotEA
32,EA,EA
33,NotEA,NotEA
34,EA,EA
35,NotEA,NotEA
36,NotEA,NotEA
37,EA,NotEA
38,EA,EA
39,EA,NotEA
40,NotEA,NotEA
41,NotEA,NotEA
42,EA,EA
43,NotEA,NotEA
44,EA,EA
45,NotEA,NotEA
46,EA,EA
47,NotEA,NotEA
48,EA,EA
49,EA,EA
50,NotEA,NotEA
51,NotEA,NotEA
52,NotEA,NotEA
53,EA,EA
54,NotEA,NotEA
55,NotEA,NotEA
56,EA,EA
57,NotEA,NotEA
58,EA,EA
59,EA,EA
60,NotEA,NotEA
61,EA,EA
62,EA,EA
63,NotEA,NotEA
64,NotEA,NotEA
65,NotEA,NotEA
66,EA,NotEA
67,EA,EA
68,NotEA,NotEA
69,EA,EA
70,NotEA,NotEA
71,EA,EA
72,EA,EA
73,EA,EA
74,EA,EA
75,EA,EA
76,EA,EA
77,NotEA,NotEA
78,EA,EA
79,EA,EA
80,EA,EA
81,NotEA,NotEA
82,NotEA,EA
83,EA,EA
84,NotEA,NotEA
85,NotEA,NotEA
86,NotEA,NotEA
87,NotEA,NotEA
88,EA,EA
89,EA,EA
90,EA,EA
91,NotEA,NotEA
92,NotEA,NotEA
93,NotEA,NotEA
94,EA,EA
95,EA,NotEA
96,EA,EA
97,NotEA,NotEA
98,NotEA,NotEA
99,NotEA,NotEA
100,NotEA,NotEA
101,EA,EA
102,NotEA,NotEA
103,NotEA,NotEA
104,EA,EA
105,EA,EA
106,EA,EA
107,NotEA,NotEA
108,EA,EA
109,NotEA,NotEA
110,EA,EA
111,NotEA,NotEA
112,NotEA,NotEA
113,EA,EA
114,EA,EA
115,NotEA,NotEA
116,EA,NotEA
117,NotEA,NotEA
118,NotEA,NotEA
119,NotEA,NotEA
120,EA,EA
121,NotEA,NotEA
122,EA,EA
123,NotEA,EA
124,EA,NotEA
125,NotEA,EA
126,EA,EA
127,NotEA,NotEA
128,NotEA,EA
129,NotEA,NotEA
130,NotEA,NotEA
131,NotEA,NotEA
132,NotEA,NotEA
133,NotEA,NotEA
134,NotEA,NotEA
135,NotEA,NotEA
136,EA,EA
137,NotEA,NotEA
138,EA,EA
139,EA,EA
140,NotEA,NotEA
141,EA,EA
142,EA,EA
143,NotEA,NotEA
144,NotEA,NotEA
145,EA,EA
146,NotEA,NotEA
147,EA,EA
148,NotEA,NotEA
149,EA,EA
150,EA,EA
151,NotEA,NotEA
152,EA,EA
153,EA,EA
154,NotEA,NotEA
155,EA,EA
156,EA,EA
157,EA,EA
158,EA,NotEA
159,EA,EA
160,NotEA,NotEA
161,NotEA,NotEA
162,NotEA,NotEA
163,NotEA,EA
164,NotEA,NotEA
165,EA,EA
166,NotEA,NotEA
167,EA,EA
168,NotEA,NotEA
169,NotEA,NotEA
170,EA,EA
171,EA,NotEA
172,EA,EA
173,NotEA,NotEA
174,EA,EA
175,EA,EA
176,NotEA,NotEA
177,EA,EA
178,NotEA,NotEA
179,NotEA,NotEA
180,EA,EA
181,NotEA,NotEA
182,NotEA,NotEA
183,EA,EA
184,NotEA,NotEA
185,NotEA,NotEA
186,EA,EA
187,NotEA,EA
188,EA,EA
189,NotEA,NotEA
190,EA,EA
191,EA,EA
192,EA,NotEA
193,EA,EA
194,EA,EA
195,NotEA,NotEA
196,NotEA,NotEA
197,NotEA,NotEA
198,NotEA,NotEA
199,EA,EA
200,EA,EA
201,NotEA,NotEA
202,NotEA,NotEA
203,EA,EA
204,EA,EA
205,NotEA,NotEA
206,NotEA,NotEA
207,EA,EA
208,EA,EA
209,EA,EA
210,NotEA,NotEA
211,EA,NotEA
212,EA,EA
213,EA,EA
214,EA,EA
215,EA,NotEA
216,NotEA,NotEA
217,NotEA,EA
218,EA,EA
219,NotEA,NotEA
220,NotEA,NotEA
221,EA,EA
222,NotEA,EA
223,NotEA,NotEA
224,NotEA,NotEA
225,NotEA,NotEA
226,NotEA,NotEA
227,EA,EA
228,NotEA,NotEA
229,NotEA,NotEA
230,EA,EA
231,EA,EA
232,NotEA,NotEA
233,EA,EA
234,NotEA,NotEA
235,EA,EA
236,NotEA,NotEA
237,NotEA,NotEA
238,EA,EA
239,EA,EA
240,NotEA,NotEA
241,EA,EA
242,EA,EA
243,NotEA,NotEA
244,NotEA,NotEA
245,NotEA,EA
246,NotEA,NotEA
247,EA,EA
248,NotEA,EA
249,EA,EA
250,EA,EA
251,NotEA,NotEA
252,NotEA,NotEA
253,NotEA,NotEA
254,EA,EA
255,EA,EA
256,NotEA,NotEA
257,NotEA,NotEA
258,NotEA,NotEA
259,EA,EA
260,NotEA,NotEA
261,EA,EA
262,NotEA,NotEA
263,NotEA,NotEA
264,EA,EA
265,NotEA,NotEA
266,EA,EA
267,EA,EA
268,NotEA,EA
269,NotEA,NotEA
270,EA,EA
271,EA,EA
272,EA,EA
273,EA,EA
274,NotEA,NotEA
275,EA,EA
276,NotEA,NotEA
277,EA,EA
278,EA,EA
279,EA,EA
280,NotEA,NotEA
281,EA,EA
282,EA,EA
283,EA,EA
284,NotEA,NotEA
285,NotEA,NotEA
286,EA,EA
287,NotEA,NotEA
288,EA,EA
289,EA,EA
290,EA,EA
291,NotEA,NotEA
292,EA,EA
293,EA,EA
294,EA,EA
295,EA,EA
296,EA,EA
297,NotEA,NotEA
298,EA,NotEA
299,NotEA,NotEA
300,EA,EA
301,NotEA,NotEA
302,EA,EA
303,NotEA,NotEA
304,EA,EA
305,NotEA,NotEA
306,EA,EA
307,EA,EA
308,EA,EA
309,NotEA,NotEA
310,EA,EA
311,NotEA,EA
312,EA,EA
313,EA,EA
314,EA,EA
315,EA,EA
316,EA,EA
317,EA,EA
318,EA,EA
319,NotEA,NotEA
320,NotEA,NotEA
321,NotEA,NotEA
322,NotEA,EA
323,NotEA,NotEA
324,NotEA,NotEA
325,EA,EA
326,EA,EA
327,EA,EA
328,NotEA,NotEA
329,EA,EA
330,NotEA,NotEA
331,EA,EA
332,EA,EA
333,NotEA,EA
334,NotEA,NotEA
335,EA,EA
336,EA,EA
337,EA,EA
338,EA,EA
339,EA,EA
340,EA,EA
341,NotEA,NotEA
342,EA,EA
343,NotEA,NotEA
344,NotEA,EA
345,NotEA,NotEA
346,EA,EA
347,NotEA,NotEA
348,EA,EA
349,EA,EA
350,EA,EA
351,NotEA,NotEA
352,NotEA,NotEA
353,EA,EA
354,NotEA,NotEA
355,EA,NotEA
356,EA,EA
357,NotEA,NotEA
358,EA,EA
359,NotEA,NotEA
360,NotEA,NotEA
361,EA,EA
362,EA,EA
363,NotEA,NotEA
364,NotEA,NotEA
365,NotEA,NotEA
366,NotEA,NotEA
367,EA,EA
368,NotEA,NotEA
